CASE_ID,FARM_ID,member_id,relation_type,other_relation,house_head,sex,age,highest_edu,bank_status,socialmedia,current_location,current_status,status_2021,current_monthly_income,monthly_income_2021
4754996,4279,1,1,,Yes,Female,40,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),More than 15000 UAH,More than 15000 UAH
4754996,4279,2,Sister/Brother,,No,Female,34,Higher (master degree or PhD),Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),More than 15000 UAH,More than 15000 UAH
4755029,792,1,1,,Yes,Male,48,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4755029,792,2,Mother/Farther,,No,Female,68,"Vocational school (PTU, lyceum)",No,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4755047,446,1,1,,No,Male,34,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4755047,446,2,Mother/Farther,,Yes,Male,64,"Vocational school (PTU, lyceum)",Yes,Yes,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4755047,446,3,Mother/Farther,,Yes,Female,64,"Vocational school (PTU, lyceum)",Yes,Yes,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4756162,421,1,1,,Yes,Male,59,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",More than 15000 UAH,More than 15000 UAH
4756162,421,2,Daughter/Son,,No,Male,30,Base higher (bachelor degree),Yes,Yes,Another village in the same Rayon,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",10000 to 15000 UAH,10000 to 15000 UAH
4756162,421,3,Daughter/Son,,No,Male,16,Primary school,Yes,Yes,Another village in the same Rayon,Student,Student,No income,No income
4756167,1626,1,1,,No,Female,61,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,2000 to 5000 UAH
4756167,1626,2,Spouse,,Yes,Male,64,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),2000 to 5000 UAH,2000 to 5000 UAH
4756203,4047,1,1,,Yes,Female,80,No formal education,Yes,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4756360,2787,1,1,,Yes,Male,53,Some secondary school,Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,2000 to 5000 UAH
4756360,2787,2,Daughter/Son,,No,Male,30,Complete secondary school,Yes,Yes,This village,Housewife (incl. maternity leave),Employed by an employer (in the private or public sector),Up to 2 000 UAH,2000 to 5000 UAH
4756360,2787,3,Sister/Brother,,No,Female,62,"Vocational school (PTU, lyceum)",Yes,No,This village,"Supporting members in the family enterprise, shop, farm",Housewife (incl. maternity leave),2000 to 5000 UAH,2000 to 5000 UAH
4756547,815,1,1,,Yes,Male,34,Higher (master degree or PhD),Yes,No,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",5000 to 10000 UAH,5000 to 10000 UAH
4756547,815,2,Spouse,,No,Female,33,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4756547,815,3,Mother/Farther,,Yes,Male,63,Higher (master degree or PhD),Yes,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4756547,815,4,Mother/Farther,,No,Female,61,Higher (master degree or PhD),Yes,,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4756559,705,1,1,,Yes,Male,59,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4756559,705,2,Spouse,,No,Female,56,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),2000 to 5000 UAH,2000 to 5000 UAH
4756559,705,3,Daughter/Son,,No,Male,30,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,Abroad,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4756559,705,4,Other (specify),daughter-in-law,No,Female,22,Higher (master degree or PhD),No,Yes,Abroad,Housewife (incl. maternity leave),Housewife (incl. maternity leave),Up to 2 000 UAH,Up to 2 000 UAH
4756559,705,5,Granddaughter/Grandson,,No,Male,66,No formal education,No,,,,,,
4756744,1978,1,1,,Yes,Male,58,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4756744,1978,2,Spouse,,Yes,Female,53,Higher (master degree or PhD),Yes,No,Another village in the same Rayon,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",5000 to 10000 UAH,5000 to 10000 UAH
4756779,354,1,1,,Yes,Male,58,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,10000 to 15000 UAH
4756779,354,2,Spouse,,No,Female,58,Higher (master degree or PhD),Yes,,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4756779,354,3,Daughter/Son,,No,Female,25,Higher (master degree or PhD),No,,This village,Unemployed (seeking for job),Student,No income,No income
4756935,3644,1,1,,Yes,Female,38,Some secondary school,Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",Up to 2 000 UAH,Up to 2 000 UAH
4756935,3644,2,Spouse,,No,Male,43,"Vocational school (PTU, lyceum)",Yes,Yes,This village,Seasonal worker,Seasonal worker,5000 to 10000 UAH,5000 to 10000 UAH
4757360,583,1,1,,Yes,Male,55,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,More than 15000 UAH
4757360,583,2,Spouse,,,Female,54,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4757369,2321,1,1,,Yes,Male,59,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4757369,2321,2,Spouse,,No,Female,58,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4757383,2999,1,1,,Yes,Male,55,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,10000 to 15000 UAH
4757383,2999,2,Spouse,,No,Female,53,"Secondary special, incomplete higher (technical school, college)",No,,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),5000 to 10000 UAH,5000 to 10000 UAH
4757383,2999,3,Daughter/Son,,No,Male,31,Higher (master degree or PhD),Yes,,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4757383,2999,4,Daughter/Son,,No,Female,21,Base higher (bachelor degree),Yes,Yes,Abroad,Student,Student,No income,No income
4757547,4728,1,1,,Yes,Male,60,Higher (master degree or PhD),Yes,No,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),2000 to 5000 UAH,2000 to 5000 UAH
4757547,4728,2,Spouse,,No,Female,57,"Secondary special, incomplete higher (technical school, college)",No,No,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),No income,No income
4757560,4324,1,1,,Yes,Male,45,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4757560,4324,2,Spouse,,No,Female,41,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,2000 to 5000 UAH
4757560,4324,3,Daughter/Son,,No,Female,21,Base higher (bachelor degree),Yes,Yes,Different Oblast,Employed by an employer (in the private or public sector),Student,2000 to 5000 UAH,No income
4757561,915,1,1,,Yes,Male,59,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4757561,915,2,Spouse,,No,Female,54,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4757561,915,3,Daughter/Son,,No,Male,32,Higher (master degree or PhD),Yes,Yes,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",2000 to 5000 UAH,2000 to 5000 UAH
4757608,4658,1,1,,No,Female,63,Higher (master degree or PhD),Yes,No,This village,Pensioner,Pensioner,More than 15000 UAH,5000 to 10000 UAH
4757608,4658,2,Spouse,,Yes,Male,70,Base higher (bachelor degree),No,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4757608,4658,3,Daughter/Son,,No,Female,35,Higher (master degree or PhD),No,Yes,This village,Unable to work,Unable to work,No income,No income
4757608,4658,4,Daughter/Son,,No,Male,38,Higher (master degree or PhD),Yes,No,Different Oblast,Military service,"Carrying out independent activity, profession (own business, shop, farm, free profession)",No income,5000 to 10000 UAH
4757616,4077,1,1,,Yes,Male,50,"Vocational school (PTU, lyceum)",Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,5000 to 10000 UAH
4757616,4077,2,Spouse,,No,Female,44,"Vocational school (PTU, lyceum)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4757616,4077,3,Daughter/Son,,No,Female,24,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",10000 to 15000 UAH,10000 to 15000 UAH
4757616,4077,4,Other (specify),son-in-law,No,Male,25,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",10000 to 15000 UAH,10000 to 15000 UAH
4757631,595,1,1,,Yes,Male,39,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,More than 15000 UAH
4757631,595,2,Spouse,,No,Female,42,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4757631,595,3,Mother/Farther,,No,Female,63,Higher (master degree or PhD),Yes,Yes,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4757651,3729,1,1,,Yes,Male,35,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4757651,3729,2,Spouse,,No,Female,38,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4757657,1786,1,1,,No,Female,40,Higher (master degree or PhD),Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,More than 15000 UAH
4757657,1786,2,Spouse,,Yes,Male,48,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4757673,2821,1,1,,Yes,Male,41,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Work based on engagement contract, author contract",More than 15000 UAH,10000 to 15000 UAH
4757673,2821,2,Spouse,,No,Female,44,Higher (master degree or PhD),Yes,Yes,Another village in the same Rayon,Housewife (incl. maternity leave),Housewife (incl. maternity leave),Up to 2 000 UAH,Up to 2 000 UAH
4757687,660,1,1,,Yes,Male,59,"Vocational school (PTU, lyceum)",Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,2000 to 5000 UAH
4757687,660,2,Spouse,,No,Female,57,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4757860,2933,1,1,,Yes,Male,55,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,10000 to 15000 UAH
4757860,2933,2,Spouse,,No,Female,57,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),2000 to 5000 UAH,2000 to 5000 UAH
4757860,2933,3,Daughter/Son,,No,Male,34,Higher (master degree or PhD),Yes,Yes,Another village in the same Rayon,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4757860,2933,4,Mother-in-law/Father-in-law,,No,Female,83,Complete secondary school,No,No,No longer alive,,Pensioner,,Up to 2 000 UAH
4757888,639,1,1,,Yes,Female,37,Higher (master degree or PhD),Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,5000 to 10000 UAH
4757888,639,2,Spouse,,Yes,Male,37,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,10000 to 15000 UAH
4757944,192,1,1,,Yes,Female,35,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,2000 to 5000 UAH
4757944,192,2,Spouse,,Yes,Male,39,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,2000 to 5000 UAH
4758049,1486,1,1,,Yes,Male,51,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,5000 to 10000 UAH
4758049,1486,2,Spouse,,Yes,Female,46,Complete secondary school,Yes,Yes,This village,Pensioner,Pensioner,Up to 2 000 UAH,Up to 2 000 UAH
4758049,1486,3,Daughter/Son,,Yes,Male,26,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Supporting members in the family enterprise, shop, farm",Seasonal worker,No income,2000 to 5000 UAH
4758066,1362,1,1,,No,Male,30,Base higher (bachelor degree),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,2000 to 5000 UAH
4758066,1362,2,Mother/Farther,,Yes,Male,60,Complete secondary school,Yes,No,This village,Unemployed (seeking for job),Unemployed (seeking for job),No income,No income
4758066,1362,3,Mother/Farther,,No,Female,54,Higher (master degree or PhD),Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4758232,2806,1,1,,Yes,Female,43,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4758232,2806,2,Spouse,,No,Male,43,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4758232,2806,3,Daughter/Son,,No,Female,18,Complete secondary school,Yes,Yes,This village,Student,Student,Up to 2 000 UAH,Up to 2 000 UAH
4758272,1421,1,1,,Yes,Male,27,Base higher (bachelor degree),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4758336,2034,1,1,,Yes,Female,55,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",No income,More than 15000 UAH
4758336,2034,2,Daughter/Son,,No,Male,35,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4758336,2034,3,Other (specify),daughter-in-law,No,Female,28,Higher (master degree or PhD),Yes,Yes,Different Oblast,Housewife (incl. maternity leave),Housewife (incl. maternity leave),No income,No income
4758336,2034,4,Granddaughter/Grandson,,No,Male,16,Complete secondary school,Yes,Yes,Abroad,Student,Student,No income,No income
4758382,1104,1,1,,Yes,Male,40,Higher (master degree or PhD),Yes,No,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),5000 to 10000 UAH,5000 to 10000 UAH
4758382,1104,2,Spouse,,Yes,Female,36,"Secondary special, incomplete higher (technical school, college)",Yes,,This village,Employed by an employer (in the private or public sector),Housewife (incl. maternity leave),5000 to 10000 UAH,No income
4758390,1599,1,1,,Yes,Female,37,Complete secondary school,Yes,No,This village,"Work based on engagement contract, author contract",Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4758434,3099,1,1,,Yes,Male,50,Complete secondary school,Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4758434,3099,2,Spouse,,No,Female,48,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4758434,3099,3,Mother-in-law/Father-in-law,,Yes,Female,74,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,Pensioner,Housewife (incl. maternity leave),2000 to 5000 UAH,2000 to 5000 UAH
4758434,3099,4,Daughter/Son,,No,Male,20,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,Different Rayon in the same Oblast,Student,Student,2000 to 5000 UAH,5000 to 10000 UAH
4758484,1916,1,1,,Yes,Male,31,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",5000 to 10000 UAH,5000 to 10000 UAH
4758484,1916,2,Spouse,,No,Female,30,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),More than 15000 UAH,More than 15000 UAH
4758536,2193,1,1,,Yes,Female,50,"Vocational school (PTU, lyceum)",Yes,Yes,This village,"Work based on engagement contract, author contract","Carrying out independent activity, profession (own business, shop, farm, free profession)",,10000 to 15000 UAH
4758536,2193,2,Spouse,,Yes,Male,53,"Vocational school (PTU, lyceum)",Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,10000 to 15000 UAH
4758536,2193,3,Daughter/Son,,No,Female,30,Higher (master degree or PhD),Yes,Yes,Different Rayon in the same Oblast,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),2000 to 5000 UAH,5000 to 10000 UAH
4758579,2723,1,1,,Yes,Male,54,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",5000 to 10000 UAH,10000 to 15000 UAH
4758579,2723,2,Spouse,,No,Female,51,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",5000 to 10000 UAH,10000 to 15000 UAH
4758579,2723,3,Daughter/Son,,No,Male,27,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract",Employed by an employer (in the private or public sector),5000 to 10000 UAH,More than 15000 UAH
4758592,4227,1,1,,Yes,Male,56,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4758592,4227,2,Spouse,,No,Female,53,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4758592,4227,3,Daughter/Son,,No,Male,26,Higher (master degree or PhD),Yes,Yes,Another village in the same Rayon,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4758624,2349,1,1,,Yes,Female,58,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),2000 to 5000 UAH,2000 to 5000 UAH
4758638,2402,1,1,,No,Female,50,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4758638,2402,2,Spouse,,Yes,Male,46,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4758768,3751,1,1,,Yes,Male,38,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)",Employed by an employer (in the private or public sector),More than 15000 UAH,More than 15000 UAH
4758768,3751,2,Spouse,,Yes,Female,37,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4758768,3751,3,Daughter/Son,,No,Female,16,Some secondary school,Yes,Yes,This village,Student,Student,No income,No income
4758794,3122,1,1,,No,Female,65,"Secondary special, incomplete higher (technical school, college)",No,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4758794,3122,2,Spouse,,Yes,Male,65,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4758794,3122,3,Daughter/Son,,No,Male,31,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),2000 to 5000 UAH,10000 to 15000 UAH
4758794,3122,4,Mother/Farther,,No,Female,89,No formal education,No,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4759028,3340,1,1,,Yes,Male,53,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),2000 to 5000 UAH,2000 to 5000 UAH
4759028,3340,2,Spouse,,Yes,Female,52,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
