CASE_ID,FARM_ID,region,regname,respondent,Sex,Age,highest_Degree,Farm_area(ha),respondant_region,resident_type
4914104,5502,Central,Cherkasy,,,,,120,Cherkaska Oblast,Village
4952288,11224,Central,Cherkasy,,,,,52,Cherkaska Oblast,Village
5024661,10569,Central,Cherkasy,,,,,830,Cherkaska Oblast,Village
5020904,5528,Central,Cherkasy,,,,,90,Cherkaska Oblast,Village
4904076,7022,Central,Cherkasy,,,,,60,Cherkaska Oblast,Urban-type settlement (SMT)
5025914,9668,Central,Cherkasy,Manager without any relationship to owner,Female,46,Higher (master degree or PhD),1800,Cherkaska Oblast,Village
4794435,556,Central,Cherkasy,,,,,,Cherkaska Oblast,Village
4795561,4513,Central,Cherkasy,,,,,88,Cherkaska Oblast,Village
4965276,5711,Central,Cherkasy,,,,,121,Cherkaska Oblast,Village
6372863,4734,Central,Cherkasy,,,,,800,Cherkaska Oblast,City 100-499 000 inhabitants
4993898,7961,Central,Cherkasy,,,,,180,Cherkaska Oblast,Town 50 - 99 000 inhabitants
4878939,5980,Central,Cherkasy,,,,,59,Cherkaska Oblast,Town 20 - 49 000 inhabitants
4765602,1176,Central,Cherkasy,,,,,102,Cherkaska Oblast,Village
4794215,4390,Central,Cherkasy,,,,,106,Cherkaska Oblast,Urban-type settlement (SMT)
4826685,4589,Central,Cherkasy,,,,,12,Cherkaska Oblast,Village
4966659,7720,Central,Cherkasy,,,,,60,Cherkaska Oblast,Village
4907536,6972,Central,Cherkasy,,,,,56,Cherkaska Oblast,Village
4910464,5906,Central,Cherkasy,,,,,105,Cherkaska Oblast,Village
4796062,2966,Central,Cherkasy,Manager without any relationship to owner,Female,62,Higher (master degree or PhD),26,Cherkaska Oblast,Village
4968657,9731,Central,Cherkasy,,,,,600,Cherkaska Oblast,Village
4914996,5892,Central,Cherkasy,,,,,19,Cherkaska Oblast,Village
6394284,7888,North,Chernihiv,Manager without any relationship to owner,Female,34,Higher (master degree or PhD),218,Chernihivska Oblast,Town up to 20 000 inhabitants
4901801,2830,North,Chernihiv,,,,,63,Chernihivska Oblast,City 100-499 000 inhabitants
4812794,3490,North,Chernihiv,,,,,50,Chernihivska Oblast,Town up to 20 000 inhabitants
5026236,7352,North,Chernihiv,Manager without any relationship to owner,Female,46,Base higher (bachelor degree),680,Chernihivska Oblast,Town 50 - 99 000 inhabitants
4962337,5538,North,Chernihiv,Manager without any relationship to owner,Female,47,Higher (master degree or PhD),118,Chernihivska Oblast,Village
4948019,9680,North,Chernihiv,,,,,1,Chernihivska Oblast,Village
6388810,5764,North,Chernihiv,,,,,350,Chernihivska Oblast,Village
4808036,104,North,Chernihiv,Manager without any relationship to owner,Female,38,Higher (master degree or PhD),650,Chernihivska Oblast,Village
4819843,2342,North,Chernihiv,,,,,70,Chernihivska Oblast,Village
4842951,474,North,Chernihiv,Manager without any relationship to owner,Female,47,"Secondary special, incomplete higher (technical school, college)",109,Chernihivska Oblast,Town 20 - 49 000 inhabitants
4965823,5817,North,Chernihiv,,,,,320,Chernihivska Oblast,Village
5020405,3399,North,Chernihiv,,,,,75,Chernihivska Oblast,Urban-type settlement (SMT)
5048516,10749,North,Chernihiv,,,,,3,Chernihivska Oblast,Village
4813305,4772,North,Chernihiv,,,,,4,Chernihivska Oblast,Village
4873344,4586,North,Chernihiv,,,,,210,Chernihivska Oblast,Village
4794304,4436,North,Chernihiv,,,,,8,Chernihivska Oblast,Village
4938946,3298,North,Chernihiv,,,,,500,Chernihivska Oblast,Village
4997414,10135,North,Chernihiv,Manager without any relationship to owner,Female,55,Higher (master degree or PhD),1137,Chernihivska Oblast,City 100-499 000 inhabitants
4985122,11111,North,Chernihiv,Manager without any relationship to owner,Female,32,Higher (master degree or PhD),230,Chernihivska Oblast,Village
4864467,273,North,Chernihiv,Manager without any relationship to owner,Male,58,Higher (master degree or PhD),700,Chernihivska Oblast,Town up to 20 000 inhabitants
5017814,9990,North,Chernihiv,,,,,647,Chernihivska Oblast,Village
4967819,5801,North,Chernihiv,Manager without any relationship to owner,Female,48,Higher (master degree or PhD),,Chernihivska Oblast,Urban-type settlement (SMT)
5004884,1156,North,Chernihiv,,,,,115,Chernihivska Oblast,Village
6377130,11676,North,Chernihiv,,,,,300,Chernihivska Oblast,Town 50 - 99 000 inhabitants
4909164,7106,North,Chernihiv,Manager without any relationship to owner,Female,32,Higher (master degree or PhD),329,Chernihivska Oblast,Village
4918070,2914,North,Chernihiv,,,,,97,Chernihivska Oblast,Urban-type settlement (SMT)
4993134,8896,North,Chernihiv,Manager without any relationship to owner,Female,38,Higher (master degree or PhD),1081,Chernihivska Oblast,Village
6396673,11519,North,Chernihiv,Manager without any relationship to owner,Female,37,Higher (master degree or PhD),820,Chernihivska Oblast,Village
4903543,6290,North,Chernihiv,,,,,1,Chernihivska Oblast,Village
4810551,2372,North,Chernihiv,Manager without any relationship to owner,Female,47,"Secondary special, incomplete higher (technical school, college)",480,Chernihivska Oblast,Village
4759183,3197,North,Chernihiv,,,,,9708,Chernihivska Oblast,Village
4801127,11294,North,Chernihiv,Manager without any relationship to owner,Male,61,Higher (master degree or PhD),500,Chernihivska Oblast,Town up to 20 000 inhabitants
6462050,10255,North,Chernihiv,Manager without any relationship to owner,Male,41,Higher (master degree or PhD),800,Chernihivska Oblast,City 100-499 000 inhabitants
4966128,10887,North,Chernihiv,,,,,41,Chernihivska Oblast,Village
4874195,3598,North,Chernihiv,,,,,188,Chernihivska Oblast,Village
4903759,5511,North,Chernihiv,,,,,75,Chernihivska Oblast,Village
6299043,11719,North,Chernihiv,Manager without any relationship to owner,Female,66,Higher (master degree or PhD),2200,Chernihivska Oblast,Town up to 20 000 inhabitants
4861063,3391,North,Chernihiv,,,,,175,Chernihivska Oblast,Village
4915702,6787,North,Chernihiv,,,,,600,Chernihivska Oblast,Town 50 - 99 000 inhabitants
4825712,4574,North,Chernihiv,Manager without any relationship to owner,Female,58,Higher (master degree or PhD),183,Chernihivska Oblast,Village
4948643,9952,North,Chernihiv,,,,,9,Chernihivska Oblast,Urban-type settlement (SMT)
6450210,10093,North,Chernihiv,Manager without any relationship to owner,Female,36,Higher (master degree or PhD),17500,Chernihivska Oblast,Village
4900909,6955,North,Chernihiv,,,,,6,Chernihivska Oblast,Village
4867757,1274,North,Chernihiv,Manager without any relationship to owner,Male,36,Higher (master degree or PhD),1200,Chernihivska Oblast,City 100-499 000 inhabitants
4790874,444,North,Chernihiv,,,,,66,Chernihivska Oblast,Town 50 - 99 000 inhabitants
4785243,3318,North,Chernihiv,,,,,81,Chernihivska Oblast,Village
4978174,10027,North,Chernihiv,Manager without any relationship to owner,Female,42,Higher (master degree or PhD),3623,Chernihivska Oblast,Village
6396455,6169,North,Chernihiv,,,,,120,Chernihivska Oblast,Village
4999487,7494,North,Chernihiv,Manager without any relationship to owner,Male,35,Higher (master degree or PhD),163,Chernihivska Oblast,Town up to 20 000 inhabitants
4817655,788,North,Chernihiv,,,,,40,Chernihivska Oblast,Town 50 - 99 000 inhabitants
6290478,11357,North,Chernihiv,Relative of owner but not household member,Female,28,"Secondary special, incomplete higher (technical school, college)",300,Chernihivska Oblast,City 100-499 000 inhabitants
4758066,1362,North,Chernihiv,,,,,80,Chernihivska Oblast,Urban-type settlement (SMT)
5006302,9364,North,Chernihiv,,,,,150,Chernihivska Oblast,Urban-type settlement (SMT)
4966990,5348,North,Chernihiv,,,,,370,Chernihivska Oblast,Village
6374740,4588,North,Chernihiv,Relative of owner but not household member,Female,35,Higher (master degree or PhD),90,Chernihivska Oblast,Village
4807750,209,North,Chernihiv,,,,,62,Chernihivska Oblast,Village
6451867,8432,North,Chernihiv,Manager without any relationship to owner,Male,31,Higher (master degree or PhD),4000,Chernihivska Oblast,Village
4799788,798,North,Chernihiv,,,,,400,Chernihivska Oblast,Village
4915865,6170,North,Chernihiv,,,,,140,Chernihivska Oblast,City 100-499 000 inhabitants
4826306,3315,North,Chernihiv,,,,,750,Chernihivska Oblast,Village
4985592,7537,North,Chernihiv,,,,,330,Chernihivska Oblast,Urban-type settlement (SMT)
5053285,1094,North,Chernihiv,,,,,8,Chernihivska Oblast,Village
6387522,5157,North,Chernihiv,Manager without any relationship to owner,Female,45,Higher (master degree or PhD),412,Chernihivska Oblast,Village
4896429,508,North,Chernihiv,Manager without any relationship to owner,Male,53,Complete secondary school,650,Chernihivska Oblast,Village
4809235,2511,North,Chernihiv,,,,,206,Chernihivska Oblast,Village
6386814,5572,North,Chernihiv,Manager without any relationship to owner,Female,45,Higher (master degree or PhD),100,Chernihivska Oblast,Urban-type settlement (SMT)
6389940,11259,North,Chernihiv,Manager without any relationship to owner,Female,57,Higher (master degree or PhD),600,Chernihivska Oblast,Village
4913255,5743,North,Chernihiv,,,,,2,Chernihivska Oblast,Village
4925284,7233,North,Chernihiv,,,,,8,Chernihivska Oblast,Village
4794125,1737,North,Chernihiv,,,,,96,Chernihivska Oblast,City 100-499 000 inhabitants
4899588,6997,North,Chernihiv,,,,,6,Chernihivska Oblast,Village
6452106,8126,North,Chernihiv,Manager without any relationship to owner,Female,36,Higher (master degree or PhD),1128,Chernihivska Oblast,Village
5026822,7433,North,Chernihiv,Manager without any relationship to owner,Male,44,Base higher (bachelor degree),900,Chernihivska Oblast,Village
5034584,2298,North,Chernihiv,,,,,1,Chernihivska Oblast,Village
4823473,475,North,Chernihiv,Manager without any relationship to owner,Female,49,"Secondary special, incomplete higher (technical school, college)",1600,Chernihivska Oblast,Village
6289702,11514,North,Chernihiv,Manager without any relationship to owner,Female,48,Higher (master degree or PhD),13000,Chernihivska Oblast,Town up to 20 000 inhabitants
4856052,3109,North,Chernihiv,Manager without any relationship to owner,Female,67,"Secondary special, incomplete higher (technical school, college)",11730,Chernihivska Oblast,Town up to 20 000 inhabitants
6398275,9237,North,Chernihiv,Manager without any relationship to owner,Male,35,Higher (master degree or PhD),1000,Chernihivska Oblast,Urban-type settlement (SMT)
4796960,4093,North,Chernihiv,,,,,120,Chernihivska Oblast,Village
4757547,4728,North,Chernihiv,,,,,1,Chernihivska Oblast,Village
4819488,541,North,Chernihiv,Manager without any relationship to owner,Female,53,Higher (master degree or PhD),2000,Chernihivska Oblast,Village
4878806,2252,North,Chernihiv,,,,,25,Chernihivska Oblast,Village
4828410,3841,North,Chernihiv,,,,,15,Chernihivska Oblast,Village
4812741,4938,North,Chernihiv,,,,,4,Chernihivska Oblast,Urban-type settlement (SMT)
4840376,4409,North,Chernihiv,,,,,3,Chernihivska Oblast,Village
4873502,1364,North,Chernihiv,,,,,50,Chernihivska Oblast,Village
6379311,4372,North,Chernihiv,Manager without any relationship to owner,Female,36,Higher (master degree or PhD),917,Chernihivska Oblast,Town 20 - 49 000 inhabitants
6376687,384,North,Chernihiv,Manager without any relationship to owner,Female,40,Base higher (bachelor degree),1600,Chernihivska Oblast,City 100-499 000 inhabitants
6389604,9989,North,Chernihiv,Manager without any relationship to owner,Female,52,Higher (master degree or PhD),2100,Chernihivska Oblast,Village
5015689,9925,North,Chernihiv,,,,,2356,Chernihivska Oblast,Town up to 20 000 inhabitants
4845934,3255,North,Chernihiv,,,,,20,Chernihivska Oblast,Village
6452801,3605,North,Chernihiv,,,,,18500,Chernihivska Oblast,Village
4847172,770,North,Chernihiv,,,,,80,Chernihivska Oblast,Village
6390180,4242,North,Chernihiv,Manager without any relationship to owner,Female,41,Higher (master degree or PhD),5500,Chernihivska Oblast,Town 20 - 49 000 inhabitants
4781008,4948,North,Chernihiv,Manager without any relationship to owner,Female,46,Higher (master degree or PhD),247,Chernihivska Oblast,Town up to 20 000 inhabitants
4884476,676,North,Chernihiv,,,,,362,Chernihivska Oblast,Village
5002945,725,North,Chernihiv,,,,,200,Chernihivska Oblast,Village
4918435,5994,North,Chernihiv,,,,,50,Chernihivska Oblast,Village
4891735,2522,North,Chernihiv,,,,,210,Chernihivska Oblast,Village
4920427,5770,North,Chernihiv,,,,,150,Chernihivska Oblast,Village
5017997,11093,North,Chernihiv,,,,,770,Chernihivska Oblast,Town 20 - 49 000 inhabitants
4767680,1163,North,Chernihiv,Manager without any relationship to owner,Female,46,Higher (master degree or PhD),609,Chernihivska Oblast,Urban-type settlement (SMT)
4769545,2390,North,Chernihiv,,,,,126,Chernihivska Oblast,Town up to 20 000 inhabitants
4779671,903,North,Chernihiv,,,,,260,Chernihivska Oblast,Village
4934273,1838,North,Chernihiv,,,,,150,Chernihivska Oblast,Town up to 20 000 inhabitants
4896490,1265,North,Chernihiv,Manager without any relationship to owner,Female,60,Higher (master degree or PhD),2500,Chernihivska Oblast,Urban-type settlement (SMT)
4756167,1626,North,Chernihiv,,,,,430,Chernihivska Oblast,Village
4914046,6561,North,Chernihiv,,,,,100,Chernihivska Oblast,Village
6450814,10039,North,Chernihiv,Manager without any relationship to owner,Female,44,"Secondary special, incomplete higher (technical school, college)",1200,Chernihivska Oblast,Village
4795558,4562,North,Chernihiv,,,,,2,Chernihivska Oblast,Village
4978372,7611,North,Chernihiv,,,,,270,Chernihivska Oblast,Village
5026832,335,North,Chernihiv,Manager without any relationship to owner,Female,40,Higher (master degree or PhD),406,Chernihivska Oblast,Village
4823609,1029,North,Chernivtsi,,,,,110,Chernivetska Oblast,Village
4940585,7055,North,Chernivtsi,,,,,560,Chernivetska Oblast,Village
4796739,3958,North,Chernivtsi,,,,,106,Chernivetska Oblast,Town up to 20 000 inhabitants
4911260,6522,North,Chernivtsi,,,,,70,Chernivetska Oblast,Town 50 - 99 000 inhabitants
4933904,5714,North,Chernivtsi,,,,,360,Chernivetska Oblast,Village
4914522,5960,North,Chernivtsi,,,,,87,Chernivetska Oblast,Village
4905257,5844,North,Chernivtsi,,,,,570,Chernivetska Oblast,Village
4806479,3198,North,Chernivtsi,Manager without any relationship to owner,Female,49,Higher (master degree or PhD),200,Chernivetska Oblast,Village
6393740,6020,North,Chernivtsi,,,,,291,Chernivetska Oblast,Town up to 20 000 inhabitants
4796054,3302,North,Chernivtsi,,,,,100,Chernivetska Oblast,Village
4772286,15,North,Chernivtsi,Manager without any relationship to owner,Female,45,"Secondary special, incomplete higher (technical school, college)",1300,Chernivetska Oblast,Village
4768352,3541,North,Chernivtsi,,,,,5,Chernivetska Oblast,Village
4769276,3739,North,Chernivtsi,Manager without any relationship to owner,Male,68,Higher (master degree or PhD),427,Chernivetska Oblast,Urban-type settlement (SMT)
4899396,981,North,Chernivtsi,,,,,75,Chernivetska Oblast,Village
4794439,2750,North,Chernivtsi,,,,,80,Chernivetska Oblast,Village
5017555,8813,North,Chernivtsi,Manager without any relationship to owner,Male,36,Higher (master degree or PhD),6000,Chernivetska Oblast,Urban-type settlement (SMT)
5005745,7501,North,Chernivtsi,Manager without any relationship to owner,Male,67,Higher (master degree or PhD),650,Chernivetska Oblast,Village
4841078,1643,North,Chernivtsi,Relative of owner but not household member,Male,31,Higher (master degree or PhD),755,Chernivetska Oblast,Village
4846513,4143,North,Chernivtsi,,,,,60,Chernivetska Oblast,Village
6290526,11316,North,Chernivtsi,Manager without any relationship to owner,Male,35,Higher (master degree or PhD),2000,Chernivetska Oblast,City 100-499 000 inhabitants
6401834,2929,Central,Dnipropetrovsk,,,,,60,Dnipropetrovska Oblast,City 500 000 + inhabitants
4846252,3593,Central,Dnipropetrovsk,Manager without any relationship to owner,Male,52,Higher (master degree or PhD),170,Dnipropetrovska Oblast,City 100-499 000 inhabitants
4903296,6120,Central,Dnipropetrovsk,,,,,5,Dnipropetrovska Oblast,Village
6304625,11686,Central,Dnipropetrovsk,,,,,300,Dnipropetrovska Oblast,Village
4906150,6806,Central,Dnipropetrovsk,Relative of owner but not household member,Female,38,Higher (master degree or PhD),280,Dnipropetrovska Oblast,Village
5017608,4510,Central,Dnipropetrovsk,,,,,380,Dnipropetrovska Oblast,Village
4954519,8715,Central,Dnipropetrovsk,,,,,200,Dnipropetrovska Oblast,Village
4826303,527,Central,Dnipropetrovsk,,,,,65,Dnipropetrovska Oblast,Village
4802973,3816,Central,Dnipropetrovsk,,,,,120,Dnipropetrovska Oblast,Village
4866242,4723,Central,Dnipropetrovsk,,,,,110,Dnipropetrovska Oblast,Urban-type settlement (SMT)
4909565,7024,Central,Dnipropetrovsk,,,,,300,Dnipropetrovska Oblast,Village
4879951,7162,Central,Dnipropetrovsk,,,,,21,Dnipropetrovska Oblast,Village
6297779,11384,Central,Dnipropetrovsk,Manager without any relationship to owner,Female,59,Higher (master degree or PhD),3300,Dnipropetrovska Oblast,Village
4826321,4375,Central,Dnipropetrovsk,,,,,3,Dnipropetrovska Oblast,Urban-type settlement (SMT)
4765682,2737,Central,Dnipropetrovsk,,,,,109,Dnipropetrovska Oblast,Village
4797374,4230,Central,Dnipropetrovsk,,,,,67,Dnipropetrovska Oblast,Village
4926026,2473,Central,Dnipropetrovsk,,,,,70,Dnipropetrovska Oblast,Village
4953899,9788,Central,Dnipropetrovsk,,,,,38,Dnipropetrovska Oblast,Urban-type settlement (SMT)
6377887,6554,Central,Dnipropetrovsk,Relative of owner but not household member,Female,59,Higher (master degree or PhD),151,Dnipropetrovska Oblast,Village
4799941,998,Central,Dnipropetrovsk,,,,,432,Dnipropetrovska Oblast,Urban-type settlement (SMT)
4917089,6577,Central,Dnipropetrovsk,,,,,82,Dnipropetrovska Oblast,Village
4754562,2537,Central,Dnipropetrovsk,,,,,2,Dnipropetrovska Oblast,Village
4848835,3853,Central,Dnipropetrovsk,,,,,100,Dnipropetrovska Oblast,Village
4769077,1031,Central,Dnipropetrovsk,,,,,88,Dnipropetrovska Oblast,Town up to 20 000 inhabitants
4921979,7150,Central,Dnipropetrovsk,,,,,16,Dnipropetrovska Oblast,Town 50 - 99 000 inhabitants
4796048,2437,Central,Dnipropetrovsk,,,,,100,Dnipropetrovska Oblast,Village
4899947,6712,Central,Dnipropetrovsk,,,,,16,Dnipropetrovska Oblast,Village
4759028,3340,Central,Dnipropetrovsk,,,,,6,Dnipropetrovska Oblast,Village
4758390,1599,Central,Dnipropetrovsk,,,,,147,Dnipropetrovska Oblast,Town 50 - 99 000 inhabitants
4915604,5490,Central,Dnipropetrovsk,,,,,105,Dnipropetrovska Oblast,Urban-type settlement (SMT)
4966587,1048,Central,Dnipropetrovsk,,,,,145,Dnipropetrovska Oblast,Urban-type settlement (SMT)
4858246,4141,Central,Dnipropetrovsk,,,,,220,Dnipropetrovska Oblast,Village
5069009,8321,Central,Dnipropetrovsk,,,,,1300,Dnipropetrovska Oblast,Village
4796115,2917,Central,Dnipropetrovsk,,,,,100,Dnipropetrovska Oblast,Village
6395090,11432,Central,Dnipropetrovsk,Manager without any relationship to owner,Female,50,Higher (master degree or PhD),3600,Dnipropetrovska Oblast,Village
