CASE_ID,FARM_ID,fulltime_worker_22,parttime_worker_22,employees_22,fulltime_worker_21,partime_worker_21,employees_21,lease_price(per ha),lease_land,sell_land,buy_land,max_buy_price,tractor_value,unit,tractor_and_equip,agri_equip,unit,caws,pigs,credit_applied,credit_recieved,last_credit_year,credit_amount,unit,interest_rate,working_capital_invest,public_social_support_21,support_amount_21,relative_support_21,relative_amount_21,public_social_support_22,support_amount_22,relative_support_22,relative_amount_22,monetary_assistance_22,monetary_amount(UAH),technical_assistance,government,ngo,other_farmers,int_org,private_supplier,require_technical_assistance,kind_of_assistance_1,assistance_provider,kind_of_assistance_2,assistance2_provider,relative/neighbour_support,support_amount,country_situation_before_war,country_situation_now,personal_before_war,personal_now,s3_q14c_1,s3_q14c_2,s3_q14c_3,s3_q14c_4,s3_q14c_5,s3_q14c_8,s3_q14c_9,s3_q14c_6,s3_q14c_7,govt_1,govt_2,govt_3,govt_4,govt_5
4817669,260,4,0,37,4,0,37,5000,Yes,No,Yes,,5000000,UAH,,7000000,UAH,0,4800,Yes,Yes,2021,16000000,UAH,13,Yes,,,,,,,,,,,No,,,,,,,Getting credit,Government,Trainings related to doing business or management,International organization,,,7,3,8,4,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No
4951101,9020,1,0,0,1,0,0,4000,Yes,No,Yes,40000,,,,43000,USD,0,0,No,No,,,,,,Yes,40 000 - 60 000 UAH,No,,Yes,20 000 - 40 000 UAH,No,,No,,No,,,,,,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Other farmers,,,No,,8,2,8,2,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
4962626,5427,1,1,1,1,1,1,313,Yes,No,No,,1000000,UAH,,100000,UAH,0,0,Yes,Yes,2010,300000,UAH,16,Yes,Yes,20 000 - 40 000 UAH,No,,Yes,20 000 - 40 000 UAH,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,Yes,400000,8,2,8,5,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
4907726,5592,0,0,102,0,0,4,0,No,No,No,,50000,UAH,,300000,UAH,28,32,No,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Other farmers,Providing literature,Other farmers,Yes,9000,6,1 - Very Bad,9,3,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No
4981908,8367,1,2,0,1,2,0,3700,Yes,No,Yes,60000,15000,USD,,10000,USD,0,0,Yes,Yes,2022,300000,UAH,18,Yes,,,Yes,Less than 20 000 UAH,No,,Yes,20 000 - 40 000 UAH,Yes,6500,No,,,,,,,Getting credit,Banks,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Input suppliers/dealers,Yes,100000,8,3,7,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
4900238,539,1,1,67,1,1,71,7000,Yes,No,Yes,,10000000,UAH,,15000000,UAH,200,0,Yes,Yes,2022,8000000,UAH,0,Yes,No,,No,,No,,No,,No,,Yes,No,No,No,No,Yes,Rather agree,Getting credit,Government,Trainings related to doing business or management,Input suppliers/dealers,No,,8,4,8,4,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No
4828652,3187,1,0,14,1,0,6,8000,Yes,No,Yes,,12000000,UAH,,1000000,USD,0,0,Yes,Yes,2021,3000000,UAH,7,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Government,DO NOT NEED ASSISTANCE,,No,,8,1 - Very Bad,8,2,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
4977543,10524,,,3,,,3,,Yes,,Yes,,,,"1,145,000 UAH - s3_q3a + s3_q3b",,,0,0,Yes,No,,,,,,,,,,,,,,No,,No,,,,,,,Getting credit,Banks,DO NOT NEED ASSISTANCE,,No,,9,3,8,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
6401832,7649,0,0,6,0,0,8,2000,Yes,No,,,6000000,UAH,,6000000,UAH,0,0,Yes,Yes,2022,6000000,UAH,0,Yes,No,,No,,No,,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,No,,10 - Very Good,1 - Very Bad,7,1 - Very Bad,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
4914433,6777,0,0,,0,0,,4800,Yes,No,Yes,200000,,,,,,0,0,Yes,Yes,2022,12000000,UAH,0,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Government,DO NOT NEED ASSISTANCE,,Yes,2000000,,,,,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes
4903175,6826,0,1,2,0,1,2,0,Yes,No,Yes,200000,75000,USD,,100000,UAH,0,0,Yes,Yes,2021,700000,UAH,,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Government,Trainings related to doing business or management,International organization,Yes,1000000,9,7,9,7,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes
4851071,986,4,4,0,1,1,0,,Yes,No,Yes,80000,500000,UAH,,2500000,UAH,0,6,Yes,Yes,2019,125000,UAH,7,Yes,Yes,More than 60 000 UAH,No,,Yes,More than 60 000 UAH,No,,No,,No,,,,,,,Getting credit,International organization,,,No,,10 - Very Good,3,10 - Very Good,8,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
4923214,6734,1,1,5,1,1,5,4000,Yes,No,Yes,,,,,,,0,0,Yes,Yes,2022,,,7,Yes,,,,,,,,,No,,No,,,,,,,Getting credit,Government,DO NOT NEED ASSISTANCE,,,,7,3,8,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
4952395,9202,2,2,0,2,2,0,0,No,No,No,,,,,0,,0,0,No,No,,,,,,Yes,Less than 20 000 UAH,No,,No,,No,,No,,No,,,,,,,Trainings related to doing business or management,International organization,DO NOT NEED ASSISTANCE,,Yes,20000,,1 - Very Bad,5,5,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
4901675,7177,1,0,0,0,1,0,0,Yes,No,Yes,60000,0,,,0,,0,0,No,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",NGO,Providing literature,Government,Yes,,5,3,6,4,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
4965310,5444,3,0,4,3,0,4,6000,No,No,,,87000,USD,,,,2,4,Yes,Yes,2022,1000000,UAH,5,Yes,Yes,,No,,Yes,,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,No,,9,3,,,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
4808967,1874,1,0,0,1,0,0,400,No,No,No,,0,,,0,,0,0,Yes,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Government,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",,Yes,100000,8,5,10 - Very Good,3,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No
6296116,11369,1,0,2,1,0,2,,Yes,No,Yes,,,,,,,0,0,No,No,,,,,,Yes,Less than 20 000 UAH,No,,No,,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,Yes,,9,6,9,6,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
4794010,1575,4,0,2,4,0,2,5000,Yes,No,Yes,50000,50000,USD,,1000000,UAH,0,0,Yes,Yes,,10000,UAH,22,Yes,No,,No,,No,,No,,No,,Yes,Yes,No,No,No,No,Rather agree,Getting credit,International organization,DO NOT NEED ASSISTANCE,,Yes,100000,8,2,8,2,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No
4794397,656,3,0,2,3,0,2,9800,Yes,No,Yes,60000,1400000,UAH,,2000000,UAH,0,0,Yes,Yes,2022,1000000,UAH,5,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,International organization,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Others (SPECIFY),Yes,100000,4,2,6,2,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No
4837363,2621,0,2,0,0,2,0,0,Yes,No,Yes,,2500,USD,,,,0,0,Yes,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,No,,4,4,4,4,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
4785271,279,1,2,0,1,2,0,5000,Yes,No,Yes,,80000,UAH,,80000,UAH,0,0,Yes,Yes,2021,3000,UAH,,No,No,,No,,No,,Yes,Less than 20 000 UAH,No,,No,,,,,,,Getting credit,Government,Trainings related to doing business or management,International organization,Yes,40000,7,3,5,4,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes
4929905,6941,1,0,1,1,0,0,5500,No,No,,,,,,,,0,0,No,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,No,,7,,,3,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
6378399,1114,2,0,2,2,0,1,2600,Yes,No,Yes,,1000000,UAH,,0,,0,0,Yes,Yes,2022,600000,UAH,,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,International organization,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Other farmers,No,,7,4,7,4,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
4768178,4028,1,1,4,1,1,1,5600,Yes,No,Yes,20000,0,,,130000,UAH,0,0,Yes,No,,,,,,Yes,20 000 - 40 000 UAH,,,Yes,20 000 - 40 000 UAH,,,,,No,,,,,,,Getting credit,Banks,Trainings related to doing business or management,International organization,,,10 - Very Good,5,10 - Very Good,7,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes
4846503,2893,0,0,2,,,,,No,No,No,,,,,,,0,0,No,No,,,,,,Yes,,No,,Yes,,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,,,,,5,3,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
4806439,3442,0,2,0,0,2,2,5500,Yes,No,No,,30000,USD,,20000,USD,0,0,Yes,Yes,2015,2000000,UAH,30,Yes,No,,No,,Yes,Less than 20 000 UAH,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,No,,3,1 - Very Bad,5,1 - Very Bad,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
4967736,5941,2,0,0,3,0,0,2870,Yes,,Yes,,200000,UAH,,0,,0,2,Yes,No,,,,,,No,,No,,No,,No,,No,,Yes,No,Yes,Yes,No,No,Rather agree,Getting credit,Banks,Trainings related to doing business or management,Government,Yes,,10 - Very Good,4,7,2,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
6373079,3170,0,0,4,0,0,3,3600,Yes,No,Yes,45000,150000,USD,,50000,USD,230,0,Yes,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,,DO NOT NEED ASSISTANCE,,Yes,500000,7,5,7,5,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
4794774,4990,1,0,0,1,0,0,3000,Yes,No,Yes,,0,,,0,,0,0,Yes,Yes,2019,,,,Yes,Yes,20 000 - 40 000 UAH,Yes,40 000 - 60 000 UAH,Yes,20 000 - 40 000 UAH,No,,No,,No,,,,,,,Getting credit,Banks,Trainings related to doing business or management,Government,Yes,100000,8,2,6,3,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
4914495,5307,1,2,1,1,2,1,,Yes,No,No,,200000,UAH,,100000,UAH,0,0,Yes,Yes,2022,500000,UAH,0,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,International organization,DO NOT NEED ASSISTANCE,,No,,6,1 - Very Bad,6,1 - Very Bad,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
4794778,2951,0,3,0,0,3,0,6500,,Yes,,,1100000,UAH,,1000000,UAH,0,4,Yes,Yes,2021,300000,UAH,,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,International organization,DO NOT NEED ASSISTANCE,,No,,10 - Very Good,,10 - Very Good,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
4757944,192,2,2,0,2,2,0,2840,Yes,No,Yes,30000,0,,,0,,0,15,Yes,No,,,,,,Yes,20 000 - 40 000 UAH,No,,Yes,20 000 - 40 000 UAH,No,,No,,Yes,Yes,No,No,No,Yes,Rather agree,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",NGO,Getting credit,Government,Yes,300000,8,5,8,6,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes
4967525,10251,1,0,0,1,1,0,,Yes,,No,,10000,USD,,2000000,UAH,0,50,Yes,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Government,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Government,No,,2,1 - Very Bad,2,1 - Very Bad,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
4906194,5063,,,35,,,35,6000,Yes,No,,,,,,,,61,0,Yes,Yes,2014,260000,UAH,12,Yes,,,,,,,,,,,,,,,,,,Getting credit,Government,DO NOT NEED ASSISTANCE,,,,5,,6,3,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
4794658,1188,,3,0,,3,0,5000,Yes,No,Yes,50000,3000000,UAH,,2000000,UAH,0,0,Yes,Yes,2022,1000000,UAH,5,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Banks,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Government,Yes,100000,6,6,6,3,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
4780096,439,1,1,3,1,0,3,6000,Yes,No,Yes,80000,40000,USD,,,,0,0,Yes,No,,,,,,Yes,,No,,No,,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,Yes,20000,10 - Very Good,8,10 - Very Good,5,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
4781690,4899,0,0,2,0,0,2,5800,Yes,No,Yes,30000,0,,,200000,UAH,0,0,Yes,No,,,,,,No,,,,No,,No,,No,,Yes,No,Yes,No,No,No,Rather agree,Getting credit,Government,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",NGO,Yes,100000,8,5,8,5,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
4963744,7119,2,0,2,2,0,2,4500,Yes,No,No,,180000,UAH,,,,0,0,Yes,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",,Getting credit,,No,,6,,8,2,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
4979489,9690,1,0,100,1,0,100,3800,Yes,No,Yes,,,,,,,727,0,Yes,Yes,2022,,,7,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Banks,DO NOT NEED ASSISTANCE,,No,,8,5,8,6,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes
4862988,956,3,4,0,3,3,0,5000,Yes,No,Yes,38000,800000,UAH,,300000,UAH,0,1,Yes,Yes,2022,400000,UAH,0,Yes,Yes,20 000 - 40 000 UAH,No,,Yes,20 000 - 40 000 UAH,No,,No,,No,,,,,,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Government,DO NOT NEED ASSISTANCE,,No,,5,4,7,3,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
4883959,6126,2,0,2,2,0,2,2200,Yes,No,Yes,40000,200000,UAH,,500000,UAH,0,10,Yes,Yes,2021,50000,UAH,,Yes,No,,No,,No,,No,,Yes,8600,No,,,,,,,Getting credit,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Other farmers,Yes,50000,8,4,8,6,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
4997893,9106,0,0,12,0,0,12,400,Yes,No,Yes,120000,50000,UAH,,200000,UAH,0,0,Yes,Yes,2022,1780000,UAH,0,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Government,DO NOT NEED ASSISTANCE,,,,8,3,8,3,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
4786088,1146,2,0,0,2,0,0,,Yes,No,,,0,,,0,,0,0,Yes,Yes,2022,300000,UAH,15,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,International organization,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Government,No,,10 - Very Good,1 - Very Bad,10 - Very Good,1 - Very Bad,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No
4798175,730,1,0,1,1,0,1,,Yes,No,Yes,41000,500000,UAH,,500000,UAH,0,0,Yes,Yes,2022,171000,UAH,20,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Government,No,,5,3,8,4,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
4801423,652,4,0,3,4,0,3,7320,Yes,No,Yes,,3500000,UAH,,3000000,UAH,0,85,No,Yes,2022,3000000,UAH,7,Yes,No,,No,,Yes,Less than 20 000 UAH,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,No,,7,2,5,5,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
4793531,2316,0,1,0,1,0,0,2200,Yes,No,Yes,25000,0,,,0,,0,5,Yes,Yes,2018,100000,UAH,22,Yes,No,,No,,No,,No,,No,,No,,,,,,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Other farmers,Getting credit,Government,No,,9,5,9,6,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
4991175,8481,1,0,1,1,0,1,,Yes,No,,,20000,USD,,,,0,0,No,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,Yes,400000,7,4,7,4,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
4904280,5663,1,0,1,1,0,1,6000,Yes,No,Yes,,7000000,UAH,,,,0,0,Yes,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,,DO NOT NEED ASSISTANCE,,No,,8,3,10 - Very Good,1 - Very Bad,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No
4984641,9611,1,0,0,1,0,0,3741,Yes,No,Yes,,8000000,UAH,,2000000,UAH,650,0,Yes,Yes,2022,,,,Yes,Yes,20 000 - 40 000 UAH,No,,Yes,20 000 - 40 000 UAH,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,No,,8,4,5,4,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
6296696,11346,1,1,0,1,1,0,8000,Yes,No,Yes,40000,500000,UAH,,30000,USD,0,0,Yes,No,,,,,,No,,No,,Yes,More than 60 000 UAH,No,,No,,No,,,,,,,Getting credit,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",,No,,10 - Very Good,3,10 - Very Good,1 - Very Bad,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
4797911,2238,1,0,24,1,0,24,6000,Yes,No,,,7000000,UAH,,8000000,UAH,0,0,Yes,Yes,2020,6500000,UAH,,Yes,Yes,20 000 - 40 000 UAH,No,,Yes,20 000 - 40 000 UAH,No,,No,,Yes,No,Yes,No,No,No,Rather agree,Getting credit,Banks,DO NOT NEED ASSISTANCE,,No,,7,1 - Very Bad,7,3,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No
4757369,2321,2,0,1,2,0,1,4200,Yes,No,Yes,35000,2000000,UAH,,3000000,UAH,0,0,Yes,Yes,2020,500000,UAH,12,Yes,Yes,20 000 - 40 000 UAH,No,,Yes,20 000 - 40 000 UAH,Yes,More than 60 000 UAH,No,,Yes,No,Yes,No,No,No,Rather agree,Trainings related to doing business or management,NGO,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",NGO,Yes,200000,8,3,9,3,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
5025007,584,,0,9,1,0,6,9000,Yes,No,Yes,100000,0,,,25000,UAH,0,0,Yes,Yes,2021,1000000,UAH,15,Yes,No,,No,,No,,No,,No,,Yes,No,Yes,Yes,No,No,Rather agree,Getting credit,Government,DO NOT NEED ASSISTANCE,,Yes,,8,5,8,6,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
4899844,4411,2,0,1,2,0,1,15500,Yes,No,Yes,,2000000,UAH,,800000,UAH,0,1,Yes,Yes,2018,1000000,UAH,23,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,International organization,DO NOT NEED ASSISTANCE,,Yes,50000,8,3,8,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
4787887,399,2,3,0,1,1,0,9000,Yes,No,Yes,36000,1000000,UAH,,3000000,UAH,0,100,Yes,Yes,2022,300000,UAH,9,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Government,DO NOT NEED ASSISTANCE,,No,,8,1 - Very Bad,10 - Very Good,1 - Very Bad,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes
4939686,1360,1,0,9,1,0,10,15000,Yes,No,Yes,,4000000,UAH,,3000000,UAH,0,0,Yes,Yes,,,,,Yes,No,,No,,No,,Yes,,No,,No,,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
4903830,6814,1,0,2,1,0,2,4000,Yes,No,No,,1000000,UAH,,1000000,UAH,0,0,Yes,Yes,2020,100000,UAH,,Yes,No,,No,,Yes,Less than 20 000 UAH,No,,No,,No,,,,,,,Getting credit,Government,DO NOT NEED ASSISTANCE,,,,7,3,5,3,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
